Fecha (UTC),Latitud,Longitud,Profundidad,Magnitud
2020-12-08 16:43:38,-28.25,-71.31,34,4.2
2020-12-08 07:07:20,-32.09,-71.47,58,5
2020-12-07 20:06:15,-32.87,-71.11,70,4.3
2020-12-06 16:47:42,-20.36,-69.07,108,6.1
2020-12-06 01:06:50,-28.28,-71.3,32,4.2
2020-12-05 22:38:43,-28.25,-71.31,34,4.4
2020-12-05 20:02:50,-21.42,-68.8,120,4.2
2020-12-05 10:04:43,-27.55,-71.1,22,3.3
2020-12-02 17:00:36,-24.27,-69.5,88,5.5
2020-11-30 22:55:01,-24.26,-67.49,213,6.4
2020-11-26 02:51:11,-31.76,-71.19,49,4.4
2020-11-25 10:58:24,-35.61,-71.62,84,5
2020-11-24 01:44:43,-33.68,-70.38,107,4.3
2020-11-23 18:14:37,-27.32,-70.66,61,3.4
2020-11-22 00:54:57,-34.63,-73.06,41,6
2020-11-21 02:11:47,-30.92,-71.26,56,5.6
2020-11-20 17:02:41,-18.18,-69.95,131,4.6
2020-11-18 08:26:47,-20.32,-69.07,97,4.3
2020-11-16 20:18:33,-28.42,-71.1,49,5.1
2020-11-16 09:55:32,-31.5,-71.76,27,3.8
2020-11-14 14:29:20,-20.39,-69.22,97,4.9
2020-11-13 23:26:59,-31.77,-71.44,59,4.7
2020-11-10 06:14:34,-27.58,-70.61,51,3.7
2020-11-08 03:34:29,-27.82,-71.11,28,4.2
2020-11-05 08:19:48,-40.57,-73.3,41,3.9
2020-10-29 16:08:39,-17.7,-69.87,149,4.8
2020-10-28 16:13:56,-21.36,-69.85,53,4
2020-10-28 15:39:20,-29.32,-71.19,58,4.3
2020-10-28 14:53:11,-29.33,-71.2,60,5.9
2020-10-28 04:52:32,-34.91,-71.68,64,5.3
2020-10-22 21:07:13,-21.36,-69.84,50,4.1
2020-10-21 09:13:07,-25.57,-70.83,24,5.6
2020-10-18 16:54:06,-27.35,-70.84,42,4.4
2020-10-14 20:16:09,-33.01,-70.19,126,4.3
2020-10-13 19:07:23,-34.04,-72.24,32,4.1
2020-10-13 17:16:17,-26.16,-71.05,30,4.9
2020-10-12 14:51:53,-21.94,-69.97,70,4
2020-10-10 10:55:02,-26.7,-70.66,55,3.8
2020-10-08 04:28:55,-32.71,-71.62,34,4.1
2020-10-07 05:34:22,-29.0,-71.14,54,4.8
